Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment)	1051.2535
Invesco India Banking and PSU Fund - Regular Plan - Growth Option	2322.7605
Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1060.9176
	
	
	
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.7258
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.7275
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.3447
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.3459
	
	
	
Kotak Banking and PSU Debt - Growth	67.3383
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.6513
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	70.2654
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.2729
	
	
	
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3136
LIC MF Banking & PSU Fund-Direct Plan-Growth	38.6152
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.543
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0521
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.4632
LIC MF Banking & PSU Fund-Regular Plan-Growth	35.7289
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.372
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3837
	
	
	
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.5922
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.5866
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.2698
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.2709
	
	
	
NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option	22.1391
NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option	10.3665
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.1391
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7662
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	11.0063
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3655
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.2984
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6964
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.9379
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.1390
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.2984
	
	
	
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1500.3842
SBI BANKING & PSU FUND - Direct Plan - Growth	3406.3055
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1314.3896
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1497.0510
SBI BANKING & PSU FUND - Regular Paln - Growth	3200.0238
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1459.9390
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1229.0293
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1459.5917
	
	
	
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.8971
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1772
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	44.2419
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.2118
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
	
	
	
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1334.3085
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1302.4034
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1170.4103
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1325.033
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1155.183
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1177.228
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1132.5363
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1140.2325
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1245.743
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.5697
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1148.8062
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1114.1966
	
	
	
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.5691
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.7859
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.9607
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.2361
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5538
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0893
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.3063
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.1233
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0598
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3111
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.476
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.5515
	
	
	
	
	
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.9399
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.8804
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9836
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8931
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.3265
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6848
	
	
	
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2345
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2405
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.5472
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3696
Axis Corporate Bond Fund - Direct Plan Growth	18.6465
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2337
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1932
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5785
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2514
Axis Corporate Bond Fund - Regular Plan Growth	17.5747
	
	
	
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7925
BANDHAN Corporate Bond Fund - Direct Growth	20.3367
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6497
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3371
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4920
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7207
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7620
BANDHAN Corporate Bond Fund - Regular Growth	19.7228
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0346
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5902
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2957
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7515
	
	
	
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.8076
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.8022
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4290
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5427
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	12.0744
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	30.1232
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6167
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7751
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.7312
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.3408
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4718
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5542
	
	
	
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.8525
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.3811
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.2008
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5394
	
	
	
DSP Corporate Bond Fund - Direct - Growth	16.717
DSP Corporate Bond Fund - Direct - IDCW	11.8215
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5756
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.4588
DSP Corporate Bond Fund - Regular - Growth	16.4128
DSP Corporate Bond Fund - Regular - IDCW	11.7785
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5523
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.8018
	
	
	
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	111.2475
Franklin India Corporate Debt Fund - Growth	102.4840
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.4952
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.6911
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9463
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.2053
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8786
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.6667
